;ds;top_level;middle_level;bottom_level;y
9031;2013-08-01;Brasil;Outras Unidades da Federação;Terrestre;4313.0
9032;2013-09-01;Brasil;Outras Unidades da Federação;Aérea;28.0
9033;2013-09-01;Brasil;Outras Unidades da Federação;Fluvial;676.0
9034;2013-09-01;Brasil;Outras Unidades da Federação;Marítima;48.0
9035;2013-09-01;Brasil;Outras Unidades da Federação;Terrestre;2437.0
9036;2013-10-01;Brasil;Outras Unidades da Federação;Aérea;111.0
9037;2013-10-01;Brasil;Outras Unidades da Federação;Fluvial;2472.0
9038;2013-10-01;Brasil;Outras Unidades da Federação;Marítima;244.0
9039;2013-10-01;Brasil;Outras Unidades da Federação;Terrestre;4130.0
9040;2013-11-01;Brasil;Outras Unidades da Federação;Aérea;11.0
9041;2013-11-01;Brasil;Outras Unidades da Federação;Fluvial;1654.0
9042;2013-11-01;Brasil;Outras Unidades da Federação;Marítima;262.0
9043;2013-11-01;Brasil;Outras Unidades da Federação;Terrestre;3082.0
9044;2013-12-01;Brasil;Outras Unidades da Federação;Aérea;191.0
9045;2013-12-01;Brasil;Outras Unidades da Federação;Fluvial;1913.0
9046;2013-12-01;Brasil;Outras Unidades da Federação;Marítima;179.0
9047;2013-12-01;Brasil;Outras Unidades da Federação;Terrestre;4301.0
9048;2013-01-01;Brasil;Paraná;Aérea;3260.0
9049;2013-01-01;Brasil;Paraná;Terrestre;139019.0
9050;2013-02-01;Brasil;Paraná;Aérea;3759.0
9051;2013-02-01;Brasil;Paraná;Terrestre;73967.0
9052;2013-03-01;Brasil;Paraná;Aérea;3829.0
9053;2013-03-01;Brasil;Paraná;Terrestre;76214.0
9054;2013-04-01;Brasil;Paraná;Aérea;4054.0
9055;2013-04-01;Brasil;Paraná;Terrestre;44780.0
9056;2013-05-01;Brasil;Paraná;Aérea;3526.0
9057;2013-05-01;Brasil;Paraná;Terrestre;42473.0
9058;2013-06-01;Brasil;Paraná;Aérea;3522.0
9059;2013-06-01;Brasil;Paraná;Terrestre;48292.0
9060;2013-07-01;Brasil;Paraná;Aérea;3068.0
9061;2013-07-01;Brasil;Paraná;Terrestre;86618.0
9062;2013-08-01;Brasil;Paraná;Aérea;3727.0
9063;2013-08-01;Brasil;Paraná;Terrestre;49139.0
9064;2013-09-01;Brasil;Paraná;Aérea;2019.0
9065;2013-09-01;Brasil;Paraná;Terrestre;34802.0
9066;2013-10-01;Brasil;Paraná;Aérea;3554.0
9067;2013-10-01;Brasil;Paraná;Terrestre;59360.0
9068;2013-11-01;Brasil;Paraná;Aérea;3362.0
9069;2013-11-01;Brasil;Paraná;Terrestre;63955.0
9070;2013-12-01;Brasil;Paraná;Aérea;3280.0
9071;2013-12-01;Brasil;Paraná;Terrestre;80149.0
9072;2013-01-01;Brasil;Pará;Aérea;593.0
9073;2013-01-01;Brasil;Pará;Fluvial;1546.0
9074;2013-02-01;Brasil;Pará;Aérea;707.0
9075;2013-02-01;Brasil;Pará;Fluvial;446.0
9076;2013-03-01;Brasil;Pará;Aérea;756.0
9077;2013-03-01;Brasil;Pará;Fluvial;1280.0
9078;2013-04-01;Brasil;Pará;Aérea;725.0
9079;2013-04-01;Brasil;Pará;Fluvial;151.0
9080;2013-05-01;Brasil;Pará;Aérea;607.0
9081;2013-05-01;Brasil;Pará;Fluvial;10.0
9082;2013-06-01;Brasil;Pará;Aérea;620.0
9083;2013-06-01;Brasil;Pará;Fluvial;9.0
9084;2013-07-01;Brasil;Pará;Aérea;1231.0
9085;2013-07-01;Brasil;Pará;Fluvial;0.0
9086;2013-08-01;Brasil;Pará;Aérea;1223.0
9087;2013-08-01;Brasil;Pará;Fluvial;1.0
9088;2013-09-01;Brasil;Pará;Aérea;765.0
9089;2013-09-01;Brasil;Pará;Fluvial;0.0
9090;2013-10-01;Brasil;Pará;Aérea;1001.0
9091;2013-10-01;Brasil;Pará;Fluvial;2.0
9092;2013-11-01;Brasil;Pará;Aérea;657.0
9093;2013-11-01;Brasil;Pará;Fluvial;166.0
9094;2013-12-01;Brasil;Pará;Aérea;624.0
9095;2013-12-01;Brasil;Pará;Fluvial;149.0
9096;2013-01-01;Brasil;Pernambuco;Aérea;6385.0
9097;2013-01-01;Brasil;Pernambuco;Marítima;1948.0
9098;2013-02-01;Brasil;Pernambuco;Aérea;6041.0
9099;2013-02-01;Brasil;Pernambuco;Marítima;93.0
9100;2013-03-01;Brasil;Pernambuco;Aérea;5147.0
9101;2013-03-01;Brasil;Pernambuco;Marítima;42.0
9102;2013-04-01;Brasil;Pernambuco;Aérea;3122.0
9103;2013-04-01;Brasil;Pernambuco;Marítima;117.0
9104;2013-05-01;Brasil;Pernambuco;Aérea;3021.0
9105;2013-05-01;Brasil;Pernambuco;Marítima;60.0
9106;2013-06-01;Brasil;Pernambuco;Aérea;4514.0
9107;2013-06-01;Brasil;Pernambuco;Marítima;41.0
9108;2013-07-01;Brasil;Pernambuco;Aérea;4956.0
9109;2013-07-01;Brasil;Pernambuco;Marítima;13.0
9110;2013-08-01;Brasil;Pernambuco;Aérea;4971.0
9111;2013-08-01;Brasil;Pernambuco;Marítima;7.0
9112;2013-09-01;Brasil;Pernambuco;Aérea;2902.0
9113;2013-09-01;Brasil;Pernambuco;Marítima;6.0
9114;2013-10-01;Brasil;Pernambuco;Aérea;5370.0
9115;2013-10-01;Brasil;Pernambuco;Marítima;23.0
9116;2013-11-01;Brasil;Pernambuco;Aérea;5827.0
9117;2013-11-01;Brasil;Pernambuco;Marítima;4183.0
9118;2013-12-01;Brasil;Pernambuco;Aérea;9081.0
9119;2013-12-01;Brasil;Pernambuco;Marítima;7304.0
9120;2013-01-01;Brasil;Rio Grande do Norte;Aérea;4799.0
9121;2013-01-01;Brasil;Rio Grande do Norte;Marítima;6.0
9122;2013-02-01;Brasil;Rio Grande do Norte;Aérea;3875.0
9123;2013-02-01;Brasil;Rio Grande do Norte;Marítima;5.0
9124;2013-03-01;Brasil;Rio Grande do Norte;Aérea;3326.0
9125;2013-03-01;Brasil;Rio Grande do Norte;Marítima;5.0
9126;2013-04-01;Brasil;Rio Grande do Norte;Aérea;2187.0
9127;2013-04-01;Brasil;Rio Grande do Norte;Marítima;0.0
9128;2013-05-01;Brasil;Rio Grande do Norte;Aérea;1367.0
9129;2013-05-01;Brasil;Rio Grande do Norte;Marítima;0.0
9130;2013-06-01;Brasil;Rio Grande do Norte;Aérea;1848.0
9131;2013-06-01;Brasil;Rio Grande do Norte;Marítima;6.0
9132;2013-07-01;Brasil;Rio Grande do Norte;Aérea;2290.0
9133;2013-07-01;Brasil;Rio Grande do Norte;Marítima;1.0
9134;2013-08-01;Brasil;Rio Grande do Norte;Aérea;2895.0
9135;2013-08-01;Brasil;Rio Grande do Norte;Marítima;0.0
9136;2013-09-01;Brasil;Rio Grande do Norte;Aérea;1481.0
9137;2013-09-01;Brasil;Rio Grande do Norte;Marítima;0.0
9138;2013-10-01;Brasil;Rio Grande do Norte;Aérea;2823.0
9139;2013-10-01;Brasil;Rio Grande do Norte;Marítima;30.0
9140;2013-11-01;Brasil;Rio Grande do Norte;Aérea;3973.0
9141;2013-11-01;Brasil;Rio Grande do Norte;Marítima;1.0
9142;2013-12-01;Brasil;Rio Grande do Norte;Aérea;4634.0
9143;2013-12-01;Brasil;Rio Grande do Norte;Marítima;336.0
9144;2013-01-01;Brasil;Rio Grande do Sul;Aérea;10483.0
9145;2013-01-01;Brasil;Rio Grande do Sul;Fluvial;8210.0
9146;2013-01-01;Brasil;Rio Grande do Sul;Terrestre;160010.0
9147;2013-02-01;Brasil;Rio Grande do Sul;Aérea;8232.0
9148;2013-02-01;Brasil;Rio Grande do Sul;Fluvial;3718.0
9149;2013-02-01;Brasil;Rio Grande do Sul;Terrestre;37113.0
9150;2013-03-01;Brasil;Rio Grande do Sul;Aérea;14808.0
9151;2013-03-01;Brasil;Rio Grande do Sul;Fluvial;1251.0
9152;2013-03-01;Brasil;Rio Grande do Sul;Terrestre;102967.0
9153;2013-04-01;Brasil;Rio Grande do Sul;Aérea;6776.0
9154;2013-04-01;Brasil;Rio Grande do Sul;Fluvial;694.0
9155;2013-04-01;Brasil;Rio Grande do Sul;Terrestre;44934.0
9156;2013-05-01;Brasil;Rio Grande do Sul;Aérea;5823.0
9157;2013-05-01;Brasil;Rio Grande do Sul;Fluvial;1549.0
9158;2013-05-01;Brasil;Rio Grande do Sul;Terrestre;22823.0
9159;2013-06-01;Brasil;Rio Grande do Sul;Aérea;5607.0
9160;2013-06-01;Brasil;Rio Grande do Sul;Fluvial;608.0
9161;2013-06-01;Brasil;Rio Grande do Sul;Terrestre;18083.0
9162;2013-07-01;Brasil;Rio Grande do Sul;Aérea;8211.0
9163;2013-07-01;Brasil;Rio Grande do Sul;Fluvial;1163.0
9164;2013-07-01;Brasil;Rio Grande do Sul;Terrestre;41160.0
9165;2013-08-01;Brasil;Rio Grande do Sul;Aérea;5541.0
9166;2013-08-01;Brasil;Rio Grande do Sul;Fluvial;554.0
9167;2013-08-01;Brasil;Rio Grande do Sul;Terrestre;33222.0
9168;2013-09-01;Brasil;Rio Grande do Sul;Aérea;3807.0
9169;2013-09-01;Brasil;Rio Grande do Sul;Fluvial;0.0
9170;2013-09-01;Brasil;Rio Grande do Sul;Terrestre;25625.0
9171;2013-10-01;Brasil;Rio Grande do Sul;Aérea;6740.0
9172;2013-10-01;Brasil;Rio Grande do Sul;Fluvial;2014.0
9173;2013-10-01;Brasil;Rio Grande do Sul;Terrestre;42229.0
9174;2013-11-01;Brasil;Rio Grande do Sul;Aérea;6326.0
9175;2013-11-01;Brasil;Rio Grande do Sul;Fluvial;2769.0
9176;2013-11-01;Brasil;Rio Grande do Sul;Terrestre;62419.0
9177;2013-12-01;Brasil;Rio Grande do Sul;Aérea;7093.0
9178;2013-12-01;Brasil;Rio Grande do Sul;Fluvial;3858.0
9179;2013-12-01;Brasil;Rio Grande do Sul;Terrestre;76467.0
9180;2013-01-01;Brasil;Rio de Janeiro;Aérea;104730.0
9181;2013-01-01;Brasil;Rio de Janeiro;Marítima;9324.0
9182;2013-02-01;Brasil;Rio de Janeiro;Aérea;124031.0
9183;2013-02-01;Brasil;Rio de Janeiro;Marítima;3938.0
9184;2013-03-01;Brasil;Rio de Janeiro;Aérea;135795.0
9185;2013-03-01;Brasil;Rio de Janeiro;Marítima;6843.0
9186;2013-04-01;Brasil;Rio de Janeiro;Aérea;90130.0
9187;2013-04-01;Brasil;Rio de Janeiro;Marítima;856.0
9188;2013-05-01;Brasil;Rio de Janeiro;Aérea;75077.0
9189;2013-05-01;Brasil;Rio de Janeiro;Marítima;49.0
9190;2013-06-01;Brasil;Rio de Janeiro;Aérea;73891.0
9191;2013-06-01;Brasil;Rio de Janeiro;Marítima;9.0
9192;2013-07-01;Brasil;Rio de Janeiro;Aérea;121451.0
9193;2013-07-01;Brasil;Rio de Janeiro;Marítima;15.0
9194;2013-08-01;Brasil;Rio de Janeiro;Aérea;88713.0
9195;2013-08-01;Brasil;Rio de Janeiro;Marítima;9.0
